AD01,BATTISTINI,41.9062254709679,12.4148554927194
AD02,CORNELIA,41.9006073004294,12.4262978241803
AD03,BALDODEGLIUBALDI,41.8991123539436,12.4345150593675
AD04,VALLEAURELIA,41.902715668099,12.4413252187785
AD05,CIPRO,41.9074716183734,12.4474022015629
AD06,OTTAVIANO,41.9093567454233,12.4581122157116
AD07,LEPANTO,41.9113299230248,12.4661937572873
AD08,FLAMINIO,41.9126163794358,12.4763719561777
AD09,SPAGNA,41.9077813476187,12.4822432842473
AD10,BARBERINI,41.9036983961201,12.4885857102433
AD11,REPUBBLICA,41.9025581987172,12.4962491817979
AD12,TERMINI,41.9009694633212,12.4998794787963
AD13,VITTORIOEMANUELE,41.8945087447263,12.5042683718442
AD14,MANZONI,41.8905480092318,12.5063414429865,
AD15,SANGIOVANNI,41.8855433691921,12.5094479001422
AD16,REDIROMA,41.8817299577436,12.5140019618406
AD17,PONTELUNGO,41.8776681880832,12.5189073148092
AD18,FURIOCAMILLO,41.8746195627082,12.5228619427257
AD19,COLLIALBANI,41.8696518513726,12.5293770867397
AD20,ARCODITRAVERTINO,41.865941270062,12.5359055549397
AD21,PORTAFURBA-QUADRARO,41.8637440683269,12.5481279171723
AD22,NUMIDIOQUADRATO,41.8619457136507,12.5525495484652
AD23,LUCIOSESTIO,41.8596210469871,12.5570618956158
AD24,GIULIOAGRICOLA,41.856517665787,12.5625720415794
AD25,SUBAUGUSTA,41.8535745246568,12.5679646405503
AD26,CINECITTA',41.8494270598157,12.5738100281538
AD27,ANAGNINA,41.8428432961958,12.5857675410068
BD01,REBIBBIA,41.9257309560824,12.5726260748561
BD02,PONTEMAMMOLO,41.9209812581045,12.5650918437351
BD03,SANTAMARIADELSOCCORSO,41.9161878573808,12.5612517289493
BD04,PIETRALATA,41.9141372383448,12.5556505810861
BD05,MONTITIBURTINI,41.9161136046038,12.5476246211475
BD10,CASTROPRETORIO,41.9062691472122,12.5053725362189
BD11,TERMINI,41.9010310397571,12.5000603071652
BD12,CAVOUR,41.8951411911035,12.4936172689542
BD13,COLOSSEO,41.8912948270997,12.4914825201713
BD14,CIRCOMASSIMO,41.8834905996332,12.4877387036498
BD15,PIRAMIDE,41.8756552941859,12.4819750123254
BD16,GARBATELLA,41.866526950911,12.4830418952601
BD17,BASILICASANPAOLO,41.8559851560076,12.4781181029258
BD18,MARCONI,41.8488401376877,12.4754464587847
BD19,EURMAGLIANA,41.8396011860407,12.4634849048603
BD20,EURPALASPORT,41.8300747144583,12.4659810243143
BD21,EURFERMI,41.8286439402672,12.4708823195197
BD22,LAURENTINA,41.8271595871433,12.4806215835369
BD23,SANT'AGNESE-ANNIBALIANO,41.9238040922752,12.5161571617689
BD24,LIBIA,41.9317271060318,12.519152673661
BD25,CONCAD'ORO,41.9389904034212,12.5273742473564
